__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/data
1645047967.746684,2572100.000000,1645047967.746684,0.000000,-3.120118,-0.000005,0.642000,-11.574269,1.047198,
1645047967.746793,,,,,,,,,0.640390
1645047967.747746,2572101.000000,1645047967.747746,0.000000,-3.120118,-0.000005,0.641000,-11.574269,1.047198,
1645047967.748654,2572102.000000,1645047967.748654,0.000000,-3.120118,-0.000005,0.641000,-11.572351,1.047198,
1645047967.749669,2572103.000000,1645047967.749669,0.000000,-3.120118,-0.000005,0.642000,-11.570434,1.047198,
1645047967.749765,,,,,,,,,0.656566
1645047967.750223,,,,,,,,,0.656566
1645047967.750455,,,,,,,,,0.656566
1645047967.750658,2572104.000000,1645047967.750658,0.000000,-3.120118,-0.000005,0.642000,-11.570434,1.047198,
1645047967.751664,2572105.000000,1645047967.751664,0.000000,-3.120118,-0.000004,0.639000,-11.568516,1.047198,
1645047967.752935,,,,,,,,,0.656566
1645047967.753654,2572106.000000,1645047967.753654,0.000000,-3.120118,-0.000004,0.644000,-11.564298,1.047198,
1645047967.754357,,,,,,,,,0.655291
1645047967.754663,2572107.000000,1645047967.754663,0.000000,-3.120118,-0.000004,0.644000,-11.564298,1.047198,
1645047967.755396,,,,,,,,,0.655291
1645047967.755664,2572108.000000,1645047967.755664,0.000000,-3.120118,-0.000003,0.644000,-11.564298,1.047198,
1645047967.755837,,,,,,,,,0.655291
1645047967.756650,2572109.000000,1645047967.756650,0.000000,-3.120118,-0.000003,0.647000,-11.562380,1.047198,
1645047967.757015,,,,,,,,,0.655291
1645047967.758651,2572110.000000,1645047967.758651,0.000000,-3.120118,-0.000003,0.650000,-11.559312,1.047198,
1645047967.759665,2572111.000000,1645047967.759665,0.000000,-3.120118,-0.000002,0.651000,-11.558545,1.047198,
1645047967.760663,2572112.000000,1645047967.760663,0.000000,-3.120118,-0.000002,0.653000,-11.556244,1.151917,
1645047967.760726,,,,,,,,,0.653511
1645047967.761140,,,,,,,,,0.653511
1645047967.761665,2572113.000000,1645047967.761665,0.000000,-3.120118,-0.000002,0.653000,-11.556244,1.151917,
1645047967.763183,,,,,,,,,0.652833
1645047967.763340,,,,,,,,,0.652833
1645047967.763662,2572114.000000,1645047967.763662,0.000000,-3.120118,-0.000002,0.654000,-11.552409,1.151917,
1645047967.764660,2572115.000000,1645047967.764660,0.000000,-3.120118,-0.000001,0.653000,-11.551259,1.151917,
1645047967.765235,,,,,,,,,0.652833
1645047967.765669,2572116.000000,1645047967.765669,0.000000,-3.120118,-0.000001,0.653000,-11.548958,1.151917,
1645047967.765778,,,,,,,,,0.652833
1645047967.766668,2572117.000000,1645047967.766668,0.000000,-3.120118,-0.000001,0.653000,-11.548958,1.151917,
1645047967.768654,2572118.000000,1645047967.768654,0.000000,-3.120118,-0.000001,0.651000,-11.545890,1.151917,
