__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645645507.148547,9119.000000,189124.000000,1645645507.148547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
1645645507.148667,,,,,,,,,,7543.000000,-1.109139
1645645507.150474,9120.000000,189125.000000,1645645507.150474,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,,
1645645507.150548,,,,,,,,,,7544.000000,-1.109139
1645645507.151483,9121.000000,189126.000000,1645645507.151483,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,,
1645645507.152470,9122.000000,189127.000000,1645645507.152470,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,,
1645645507.152503,,,,,,,,,,7545.000000,-1.109139
1645645507.153500,9123.000000,189128.000000,1645645507.153500,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,,
1645645507.154130,,,,,,,,,,7546.000000,-1.109139
1645645507.155487,9124.000000,189129.000000,1645645507.155487,0.000000,0.000000,0.000000,0.012000,0.000000,0.000000,,
1645645507.156913,9125.000000,189130.000000,1645645507.156913,0.000000,0.000000,0.000000,-0.280000,0.000000,0.000000,,
1645645507.157490,9126.000000,189131.000000,1645645507.157490,0.000000,0.000000,0.000000,-0.575000,-0.001150,0.000000,,
1645645507.158405,,,,,,,,,,7547.000000,-1.109139
1645645507.158592,9127.000000,189132.000000,1645645507.158592,0.000000,0.000000,0.000000,-0.677000,-0.002684,0.000000,,
1645645507.158792,,,,,,,,,,7548.000000,-1.109139
1645645507.159731,9128.000000,189133.000000,1645645507.159731,0.000000,0.000000,0.000000,-0.677000,-0.002684,0.000000,,
1645645507.160811,,,,,,,,,,7549.000000,-1.109139
1645645507.161479,9129.000000,189134.000000,1645645507.161479,0.000000,0.000000,0.000000,-0.886000,-0.005752,-0.104720,,
1645645507.163034,,,,,,,,,,7550.000000,-1.109139
1645645507.163059,,,,,,,,,,7551.000000,-1.109139
1645645507.163090,9130.000000,189135.000000,1645645507.163090,0.000000,0.000000,0.000000,-0.969000,-0.007286,-0.209440,,
1645645507.163474,9131.000000,189136.000000,1645645507.163474,0.000000,0.000000,0.000000,-0.969000,-0.007286,-0.209440,,
1645645507.165287,,,,,,,,,,7552.000000,-1.109139
1645645507.165493,9132.000000,189137.000000,1645645507.165493,0.000000,0.000000,0.000000,-1.033000,-0.014956,-0.314159,,
1645645507.166471,9133.000000,189138.000000,1645645507.166471,0.000000,0.000000,0.000000,-1.033000,-0.014956,-0.314159,,
1645645507.167479,9134.000000,189139.000000,1645645507.167479,0.000000,0.000000,0.000000,-1.049000,-0.019558,-0.523599,,
1645645507.168084,,,,,,,,,,7553.000000,-1.109139
1645645507.168448,9135.000000,189140.000000,1645645507.168448,0.000000,0.000000,0.000000,-1.059000,-0.024544,-0.628319,,
1645645507.168479,,,,,,,,,,7554.000000,-1.109139
1645645507.168641,,,,,,,,,,7555.000000,-1.109139
1645645507.170045,,,,,,,,,,7556.000000,-1.109139
1645645507.170476,9136.000000,189141.000000,1645645507.170476,0.000000,0.000000,0.000000,-1.074000,-0.030296,-0.733038,,
1645645507.171473,9137.000000,189142.000000,1645645507.171473,0.000000,0.000000,0.000000,-1.075000,-0.033364,-0.837758,,
1645645507.172516,9138.000000,189143.000000,1645645507.172516,0.000000,0.000000,0.000000,-1.081000,-0.043718,-1.047198,,
1645645507.173033,,,,,,,,,,7557.000000,-0.731686
1645645507.173471,9139.000000,189144.000000,1645645507.173471,0.000000,0.000000,0.000000,-1.084000,-0.043718,-1.047198,,
1645645507.175666,,,,,,,,,,7558.000000,-0.731686
1645645507.176487,9140.000000,189146.000000,1645645507.176487,0.000000,0.000000,0.000000,-1.090000,-0.051388,-1.256637,,
1645645507.177474,,,,,,,,,,7559.000000,-0.221774
1645645507.177478,9141.000000,189147.000000,1645645507.177478,0.000000,0.000000,0.000000,-1.093000,-0.059058,-1.466077,,
1645645507.177832,,,,,,,,,,7560.000000,-0.221774
1645645507.178474,9142.000000,189148.000000,1645645507.178474,0.000000,0.000000,0.000000,-1.089000,-0.062893,-1.466077,,
1645645507.179671,,,,,,,,,,7561.000000,-0.221774
1645645507.180432,9143.000000,189149.000000,1645645507.180432,0.000000,0.000000,0.000000,-1.085000,-0.074782,-1.780236,,
1645645507.181473,9144.000000,189150.000000,1645645507.181473,0.000000,0.000000,0.000000,-1.088000,-0.080534,-1.884956,,
1645645507.181870,,,,,,,,,,7562.000000,0.033451
1645645507.182335,,,,,,,,,,7563.000000,0.033451
1645645507.182473,9145.000000,189151.000000,1645645507.182473,0.000000,0.000000,0.000000,-1.091000,-0.088971,-1.989675,,
1645645507.182672,,,,,,,,,,7564.000000,0.033451
1645645507.183481,9146.000000,189152.000000,1645645507.183481,0.000000,0.000000,0.000000,-1.096000,-0.098558,-2.303835,,
1645645507.184525,,,,,,,,,,7565.000000,0.317862
1645645507.185062,,,,,,,,,,7566.000000,0.317862
1645645507.185472,9147.000000,189153.000000,1645645507.185472,0.000000,0.000000,0.000000,-1.099000,-0.108146,-2.408554,,
1645645507.186457,,,,,,,,,,7567.000000,0.317862
1645645507.186475,9148.000000,189154.000000,1645645507.186475,0.000000,0.000000,0.000000,-1.099000,-0.108146,-2.408554,,
1645645507.187484,9149.000000,189155.000000,1645645507.187484,0.000000,0.000000,0.000000,-1.093000,-0.118117,-2.617994,,
1645645507.188439,9150.000000,189156.000000,1645645507.188439,0.000000,0.000000,0.000000,-1.093000,-0.118117,-2.617994,,
1645645507.188583,,,,,,,,,,7568.000000,0.564993
1645645507.188875,,,,,,,,,,7569.000000,0.564993
1645645507.190471,9151.000000,189157.000000,1645645507.190471,0.000000,0.000000,0.000000,-1.091000,-0.138825,-2.932153,,
1645645507.191325,,,,,,,,,,7570.000000,0.564993
1645645507.191471,9152.000000,189158.000000,1645645507.191471,0.000000,0.000000,0.000000,-1.080000,-0.149563,-3.141593,,
1645645507.192730,9153.000000,189159.000000,1645645507.192730,0.000000,0.000000,0.000000,-1.076000,-0.160684,-3.351032,,
1645645507.192801,,,,,,,,,,7571.000000,0.638348
